epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,9.79957,0.90019,0.79547,1.29581,0.75718,0.49306,0.70059,0.35321,1.66502,1.70233,1.38741,2.99058e-05,2.99058e-05,2.99058e-05
49,9.99019,0.74049,0.97689,1.18654,0.76094,0.4899,0.56621,0.32283,1.65788,1.72352,1.392,2.99766e-05,2.99766e-05,2.99766e-05
50,10.2411,0.83041,1.03197,1.20986,0.76094,0.4899,0.56621,0.32283,1.65788,1.72352,1.392,3.00238e-05,3.00238e-05,3.00238e-05
51,10.4386,0.84529,1.01647,1.17406,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00475e-05,3.00475e-05,3.00475e-05
52,10.6186,0.74751,1.54278,1.12487,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00476e-05,3.00476e-05,3.00476e-05
53,10.7977,0.80235,0.85247,1.14309,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00242e-05,3.00242e-05,3.00242e-05
54,11.0041,0.74219,0.8573,1.28686,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.99772e-05,2.99772e-05,2.99772e-05
55,11.1808,0.65502,1.22537,1.07278,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.99066e-05,2.99066e-05,2.99066e-05
56,11.3567,0.83726,0.95051,1.33203,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.98125e-05,2.98125e-05,2.98125e-05
57,11.6166,0.71626,0.6924,1.10827,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.96948e-05,2.96948e-05,2.96948e-05
58,11.7947,0.83667,0.67438,1.28274,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.95535e-05,2.95535e-05,2.95535e-05
59,11.9722,0.97691,0.90127,1.16411,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.93887e-05,2.93887e-05,2.93887e-05
60,12.1599,0.78772,1.21401,1.20982,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.92003e-05,2.92003e-05,2.92003e-05
61,12.3373,0.75134,0.84726,1.0133,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.89884e-05,2.89884e-05,2.89884e-05
62,12.5155,0.60759,0.67284,0.99644,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.87529e-05,2.87529e-05,2.87529e-05
63,12.7046,0.88194,1.50153,1.32432,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.84938e-05,2.84938e-05,2.84938e-05
64,12.9543,0.76222,0.81318,1.21477,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.82112e-05,2.82112e-05,2.82112e-05
65,13.134,0.74134,0.78898,1.16963,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.7905e-05,2.7905e-05,2.7905e-05
66,13.3249,0.77009,1.39349,1.14888,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.75753e-05,2.75753e-05,2.75753e-05
67,13.502,0.81499,1.2768,1.23426,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.7222e-05,2.7222e-05,2.7222e-05
68,13.6801,0.80451,0.99214,1.13677,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.68451e-05,2.68451e-05,2.68451e-05
69,13.8715,0.82083,0.86771,1.18438,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.64447e-05,2.64447e-05,2.64447e-05
70,14.1201,0.71899,0.65616,1.08481,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.60207e-05,2.60207e-05,2.60207e-05
71,14.2983,0.73419,0.72358,1.10433,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.55731e-05,2.55731e-05,2.55731e-05
72,14.487,0.52487,0.71553,1.03906,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.5102e-05,2.5102e-05,2.5102e-05
73,14.6648,0.80892,0.75017,1.20185,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.46073e-05,2.46073e-05,2.46073e-05
74,14.8442,0.63715,0.70069,1.17357,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.40891e-05,2.40891e-05,2.40891e-05
75,15.0505,0.81431,0.63723,1.0815,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.35472e-05,2.35472e-05,2.35472e-05
76,15.2281,0.67924,0.66663,1.04665,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.29819e-05,2.29819e-05,2.29819e-05
77,15.4807,0.76028,0.81433,1.11513,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.23929e-05,2.23929e-05,2.23929e-05
78,15.669,0.82866,1.00318,1.24693,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.17805e-05,2.17805e-05,2.17805e-05
79,15.8457,0.68404,0.89173,1.12991,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.11444e-05,2.11444e-05,2.11444e-05
80,16.0237,0.65722,0.62938,1.02864,0.8235,0.48154,0.51548,0.269,1.7567,2.19668,1.44566,2.04848e-05,2.04848e-05,2.04848e-05
81,16.214,0.81574,0.89657,1.27437,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.98016e-05,1.98016e-05,1.98016e-05
82,16.3903,0.6871,0.66466,1.22472,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.90949e-05,1.90949e-05,1.90949e-05
83,16.6493,0.80235,0.72876,1.33826,0.82314,0.48333,0.51372,0.27299,1.73888,2.15219,1.42696,1.83646e-05,1.83646e-05,1.83646e-05
84,16.8374,0.72513,0.78118,1.10563,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.76107e-05,1.76107e-05,1.76107e-05
85,17.0149,0.75006,0.90202,1.15753,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.68333e-05,1.68333e-05,1.68333e-05
86,17.1936,0.65281,1.03521,1.08833,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.60323e-05,1.60323e-05,1.60323e-05
87,17.3736,1.16044,1.67946,1.62757,0.82235,0.47837,0.51566,0.25695,1.72755,2.17927,1.42684,1.52077e-05,1.52077e-05,1.52077e-05
88,17.5638,0.63202,0.85743,1.07849,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.43596e-05,1.43596e-05,1.43596e-05
89,17.7441,0.7225,0.7721,1.34097,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.34879e-05,1.34879e-05,1.34879e-05
90,17.9952,0.85557,0.83983,1.27747,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.25927e-05,1.25927e-05,1.25927e-05
91,18.3836,0.6775,0.59185,1.11406,0.83212,0.47093,0.51228,0.25591,1.75137,2.26288,1.45928,1.16739e-05,1.16739e-05,1.16739e-05
92,18.5915,0.7069,0.59973,1.23362,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,1.07315e-05,1.07315e-05,1.07315e-05
93,18.7765,0.58518,0.61792,1.0467,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,9.76562e-06,9.76562e-06,9.76562e-06
94,18.9536,0.68637,0.62039,1.03509,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,8.77613e-06,8.77613e-06,8.77613e-06
95,19.1405,0.57099,0.51611,0.97847,0.84358,0.46497,0.51043,0.25421,1.74373,2.17084,1.4272,7.76308e-06,7.76308e-06,7.76308e-06
96,19.3299,0.54013,0.55735,1.00163,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,6.72648e-06,6.72648e-06,6.72648e-06
97,19.5935,0.55366,0.53918,1.06189,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,5.6663e-06,5.6663e-06,5.6663e-06
98,19.7726,0.54771,0.49498,0.95836,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,4.58257e-06,4.58257e-06,4.58257e-06
99,19.9546,0.59875,0.56525,1.12879,0.8473,0.45407,0.51863,0.26159,1.82706,2.1066,1.45361,3.47528e-06,3.47528e-06,3.47528e-06
100,20.1499,0.47236,0.45461,0.93796,0.58404,0.48333,0.54275,0.30519,1.85434,2.15422,1.52024,2.34442e-06,2.34442e-06,2.34442e-06
