epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,38.4211,0.48381,0.59712,0.55595,0.85613,0.99769,1,0.995,0.92133,0.99769,1,0.995,0.97228,0.41202,0.50969,0.34418,0.8077,0.0013862,0.0013862,0.0013862
33,39.6004,0.43433,0.5105,0.51344,0.86648,0.99706,0.95652,0.99333,0.94148,0.99706,0.95652,0.95509,0.74591,0.30903,3.18054,0.39531,0.78518,0.0013664,0.0013664,0.0013664
34,40.7648,0.46715,0.55812,0.52413,0.86013,0.99773,1,0.995,0.92626,0.99773,1,0.995,0.97628,0.37012,0.54765,0.35128,0.80369,0.0013466,0.0013466,0.0013466
35,41.9125,0.48133,0.61535,0.53834,0.87972,0.99771,1,0.995,0.90765,0.99771,1,0.995,0.9764,0.39986,0.48797,0.36972,0.81109,0.0013268,0.0013268,0.0013268
36,43.095,0.43295,0.54299,0.52412,0.85445,0.98898,1,0.995,0.94037,0.98898,1,0.995,0.9632,0.34083,0.61544,0.42887,0.79171,0.001307,0.001307,0.001307
37,44.2799,0.44688,0.58817,0.49945,0.84375,0.99692,1,0.995,0.89565,0.99692,1,0.995,0.97695,0.44019,0.4829,0.35813,0.81369,0.0012872,0.0012872,0.0012872
38,45.4591,0.47976,0.65692,0.50078,0.85749,0.99739,1,0.995,0.92298,0.99739,1,0.995,0.97981,0.38767,0.5538,0.33275,0.80012,0.0012674,0.0012674,0.0012674
39,46.6029,0.44291,0.6087,0.47271,0.84117,0.99765,1,0.995,0.92692,0.99765,1,0.995,0.9409,0.40207,0.57299,0.34621,0.81353,0.0012476,0.0012476,0.0012476
40,47.7555,0.47211,0.65567,0.52095,0.88773,0.99772,1,0.995,0.91373,0.99772,1,0.995,0.93118,0.38693,0.48088,0.36211,0.79962,0.0012278,0.0012278,0.0012278
41,48.9197,0.46416,0.5265,0.48244,0.87344,0.9852,1,0.995,0.94452,0.9852,1,0.995,0.94992,0.35727,0.47576,0.39299,0.78623,0.001208,0.001208,0.001208
42,50.0876,0.42951,0.57291,0.46934,0.84415,0.99751,1,0.995,0.93663,0.99751,1,0.995,0.98724,0.33222,0.48896,0.29649,0.78639,0.0011882,0.0011882,0.0011882
43,51.2411,0.41109,0.52181,0.46469,0.85088,0.99753,1,0.995,0.92895,0.99753,1,0.995,0.995,0.33515,0.47161,0.29963,0.78938,0.0011684,0.0011684,0.0011684
44,52.4136,0.40136,0.56716,0.44682,0.83829,0.99736,1,0.995,0.9514,0.99736,1,0.995,0.98876,0.29717,0.49003,0.30246,0.77777,0.0011486,0.0011486,0.0011486
45,53.5751,0.40137,0.49216,0.45023,0.83952,0.99761,1,0.995,0.91467,0.99761,1,0.995,0.95701,0.40437,0.56367,0.31671,0.8156,0.0011288,0.0011288,0.0011288
46,54.7418,0.36267,0.50858,0.74031,0.78558,0.99862,1,0.995,0.94568,0.99862,1,0.995,0.57223,0.35132,4.70993,0.35709,0.79711,0.001109,0.001109,0.001109
47,55.8943,0.41413,0.61078,0.4477,0.83953,1,0.6284,0.97921,0.86657,0.9814,0.21739,0.22526,0.04973,0.52747,15.0828,1.68566,0.87106,0.0010892,0.0010892,0.0010892
48,57.0577,0.38145,0.52495,0.43941,0.83373,0.99828,1,0.995,0.9645,0.99828,1,0.995,0.9687,0.30353,0.81326,0.38187,0.77981,0.0010694,0.0010694,0.0010694
49,58.2164,0.39554,0.49539,0.45071,0.82788,0.99775,1,0.995,0.95196,0.99775,1,0.995,0.99063,0.28347,0.42497,0.26871,0.77171,0.0010496,0.0010496,0.0010496
50,59.3854,0.3973,0.5015,0.42258,0.83672,0.99778,1,0.995,0.92107,0.99778,1,0.995,0.97326,0.3636,0.46775,0.26592,0.7913,0.0010298,0.0010298,0.0010298
