epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16.6517,0.49636,0.86752,0.85397,0.9826,1,0.995,0.87007,0.738,0.99576,0.9201,0.0011684,0.0011684,0.0011684
44,17.0212,0.48274,0.8432,0.85052,0.98483,1,0.995,0.79556,0.72861,0.91085,0.9146,0.0011486,0.0011486,0.0011486
45,17.3781,0.45864,0.78719,0.84705,0.98483,1,0.995,0.79556,0.72861,0.91085,0.9146,0.0011288,0.0011288,0.0011288
46,17.7478,0.49069,0.8327,0.88707,0.98535,1,0.995,0.77892,0.71464,0.84983,0.91339,0.001109,0.001109,0.001109
47,18.1147,0.487,0.7848,0.83348,0.98414,1,0.995,0.92007,0.67352,0.85946,0.89913,0.0010892,0.0010892,0.0010892
48,18.4915,0.40874,0.84311,0.8924,0.98289,1,0.995,0.83286,0.66203,0.8626,0.88966,0.0010694,0.0010694,0.0010694
49,18.8679,0.42344,0.86303,0.81603,0.98289,1,0.995,0.83286,0.66203,0.8626,0.88966,0.0010496,0.0010496,0.0010496
50,19.2446,0.4944,1.0207,0.84862,0.98651,1,0.995,0.83306,0.72726,0.84045,0.90487,0.0010298,0.0010298,0.0010298
51,19.6249,0.41676,0.87614,0.79937,0.98818,1,0.995,0.82636,0.74989,0.81498,0.91863,0.00101,0.00101,0.00101
52,20.0022,0.46731,0.74832,0.81419,0.9884,1,0.995,0.82636,0.70363,0.74494,0.90113,0.0009902,0.0009902,0.0009902
53,20.3577,0.45251,0.72601,0.82702,0.9884,1,0.995,0.82636,0.70363,0.74494,0.90113,0.0009704,0.0009704,0.0009704
54,20.7253,0.4156,0.71389,0.85661,0.98774,1,0.995,0.85757,0.65929,0.67862,0.89062,0.0009506,0.0009506,0.0009506
55,21.0951,0.42797,0.72885,0.85567,0.98802,1,0.995,0.82636,0.65097,0.66478,0.8902,0.0009308,0.0009308,0.0009308
56,21.4656,0.46246,0.68913,0.8098,0.98745,1,0.995,0.8576,0.6481,0.72733,0.88583,0.000911,0.000911,0.000911
57,21.8275,0.48312,0.82984,0.89613,0.98745,1,0.995,0.8576,0.6481,0.72733,0.88583,0.0008912,0.0008912,0.0008912
58,22.194,0.46298,0.87329,0.88943,0.98708,1,0.995,0.86174,0.65488,0.78973,0.89163,0.0008714,0.0008714,0.0008714
