epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,3.58439,1.12211,2.75161,1.4438,0.8126,0.65,0.88794,0.62445,1.68893,1.09791,1.36992,1.60241e-05,1.60241e-05,1.60241e-05
18,3.75492,0.88866,2.37752,1.30576,0.8126,0.65,0.88794,0.62445,1.68893,1.09791,1.36992,1.68253e-05,1.68253e-05,1.68253e-05
19,3.95077,0.98943,1.68739,1.46139,0.81496,0.65,0.88282,0.62229,1.70422,1.13154,1.3756,1.7603e-05,1.7603e-05,1.7603e-05
20,4.11973,1.1802,2.34382,1.54012,0.81496,0.65,0.88282,0.62229,1.70422,1.13154,1.3756,1.83571e-05,1.83571e-05,1.83571e-05
21,4.30665,1.04311,2.36093,1.4701,0.62909,0.7,0.85656,0.61405,1.71134,1.15405,1.38318,1.90876e-05,1.90876e-05,1.90876e-05
22,4.48211,1.05823,2.5033,1.39686,0.62909,0.7,0.85656,0.61405,1.71134,1.15405,1.38318,1.97946e-05,1.97946e-05,1.97946e-05
23,4.66499,0.91175,1.89998,1.46689,0.63953,0.69839,0.85692,0.61433,1.73369,1.19775,1.39677,2.0478e-05,2.0478e-05,2.0478e-05
24,4.83942,0.77056,1.46358,1.18677,0.63953,0.69839,0.85692,0.61433,1.73369,1.19775,1.39677,2.11379e-05,2.11379e-05,2.11379e-05
25,5.02297,0.66509,1.54576,1.07159,0.64569,0.69981,0.85759,0.61448,1.72957,1.21727,1.40263,2.17741e-05,2.17741e-05,2.17741e-05
26,5.1923,1.1723,1.84732,1.39361,0.64569,0.69981,0.85759,0.61448,1.72957,1.21727,1.40263,2.23869e-05,2.23869e-05,2.23869e-05
27,5.38059,0.97251,1.57165,1.29678,0.65335,0.7,0.85734,0.61873,1.70465,1.22594,1.39205,2.2976e-05,2.2976e-05,2.2976e-05
28,5.55094,1.04447,1.45403,1.25175,0.65335,0.7,0.85734,0.61873,1.70465,1.22594,1.39205,2.35417e-05,2.35417e-05,2.35417e-05
29,5.73157,1.13154,1.78566,1.54722,0.6614,0.7,0.85676,0.59799,1.68636,1.2512,1.38529,2.40837e-05,2.40837e-05,2.40837e-05
30,5.90379,0.74672,1.70451,1.38991,0.6614,0.7,0.85676,0.59799,1.68636,1.2512,1.38529,2.46022e-05,2.46022e-05,2.46022e-05
31,6.08543,1.21378,1.60885,1.58281,0.66641,0.7,0.86978,0.60151,1.68341,1.29001,1.38954,2.50971e-05,2.50971e-05,2.50971e-05
32,6.25678,0.93325,2.15048,1.38926,0.66641,0.7,0.86978,0.60151,1.68341,1.29001,1.38954,2.55685e-05,2.55685e-05,2.55685e-05
33,6.44333,0.80007,1.16592,1.23265,0.66178,0.7,0.85665,0.5814,1.64791,1.34283,1.37452,2.60163e-05,2.60163e-05,2.60163e-05
34,6.61542,1.216,1.58449,1.46904,0.66178,0.7,0.85665,0.5814,1.64791,1.34283,1.37452,2.64405e-05,2.64405e-05,2.64405e-05
35,6.80459,0.75269,1.18959,1.0862,0.66215,0.7,0.85356,0.57176,1.64229,1.37929,1.37932,2.68412e-05,2.68412e-05,2.68412e-05
36,6.97458,0.70863,1.65012,1.18364,0.66215,0.7,0.85356,0.57176,1.64229,1.37929,1.37932,2.72183e-05,2.72183e-05,2.72183e-05
37,7.15845,1.15506,1.6645,1.64432,0.674,0.7,0.85017,0.57726,1.59688,1.42563,1.3623,2.75718e-05,2.75718e-05,2.75718e-05
38,7.33109,0.82277,1.4911,1.13565,0.674,0.7,0.85017,0.57726,1.59688,1.42563,1.3623,2.79018e-05,2.79018e-05,2.79018e-05
39,7.51223,0.56044,0.97048,0.96565,0.68198,0.7,0.84678,0.57297,1.58774,1.49772,1.36222,2.82082e-05,2.82082e-05,2.82082e-05
40,7.68522,0.80893,1.00756,1.30749,0.68198,0.7,0.84678,0.57297,1.58774,1.49772,1.36222,2.84911e-05,2.84911e-05,2.84911e-05
41,7.86966,0.71962,0.98004,1.06523,0.66114,0.7,0.8468,0.56898,1.63947,1.5211,1.38826,2.87504e-05,2.87504e-05,2.87504e-05
42,8.04281,0.89582,1.2969,1.22256,0.66114,0.7,0.8468,0.56898,1.63947,1.5211,1.38826,2.89861e-05,2.89861e-05,2.89861e-05
43,8.23248,0.61204,1.05948,1.14407,0.69683,0.6562,0.8462,0.55483,1.63519,1.56534,1.38201,2.91983e-05,2.91983e-05,2.91983e-05
44,8.40888,1.01098,2.1899,1.38423,0.69683,0.6562,0.8462,0.55483,1.63519,1.56534,1.38201,2.93869e-05,2.93869e-05,2.93869e-05
45,8.59459,0.77223,1.28148,1.24048,0.7552,0.5175,0.70775,0.38918,1.63202,1.62848,1.37583,2.9552e-05,2.9552e-05,2.9552e-05
46,8.76696,0.9456,1.48088,1.27734,0.7552,0.5175,0.70775,0.38918,1.63202,1.62848,1.37583,2.96935e-05,2.96935e-05,2.96935e-05
47,8.94797,1.18516,1.57805,1.49719,0.75718,0.49306,0.70059,0.35321,1.66502,1.70233,1.38741,2.98114e-05,2.98114e-05,2.98114e-05
48,9.11961,0.90019,0.79547,1.29581,0.75718,0.49306,0.70059,0.35321,1.66502,1.70233,1.38741,2.99058e-05,2.99058e-05,2.99058e-05
49,9.29952,0.74049,0.97689,1.18654,0.76094,0.4899,0.56621,0.32283,1.65788,1.72352,1.392,2.99766e-05,2.99766e-05,2.99766e-05
50,9.46689,0.83041,1.03197,1.20986,0.76094,0.4899,0.56621,0.32283,1.65788,1.72352,1.392,3.00238e-05,3.00238e-05,3.00238e-05
51,9.65899,0.84529,1.01647,1.17406,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00475e-05,3.00475e-05,3.00475e-05
52,9.85072,0.74751,1.54278,1.12487,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00476e-05,3.00476e-05,3.00476e-05
53,10.0487,0.80235,0.85247,1.14309,0.77065,0.48333,0.5509,0.30452,1.65131,1.75588,1.38431,3.00242e-05,3.00242e-05,3.00242e-05
54,10.2727,0.74219,0.8573,1.28686,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.99772e-05,2.99772e-05,2.99772e-05
55,10.4599,0.65502,1.22537,1.07278,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.99066e-05,2.99066e-05,2.99066e-05
56,10.6718,0.83726,0.95051,1.33203,0.78053,0.48333,0.52672,0.28309,1.65429,1.80711,1.38855,2.98125e-05,2.98125e-05,2.98125e-05
57,10.8546,0.71626,0.6924,1.10827,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.96948e-05,2.96948e-05,2.96948e-05
58,11.0465,0.83667,0.67438,1.28274,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.95535e-05,2.95535e-05,2.95535e-05
59,11.2457,0.97691,0.90127,1.16411,0.77607,0.48333,0.52419,0.28156,1.68238,1.82211,1.40073,2.93887e-05,2.93887e-05,2.93887e-05
60,11.4459,0.78772,1.21401,1.20982,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.92003e-05,2.92003e-05,2.92003e-05
61,11.6241,0.75134,0.84726,1.0133,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.89884e-05,2.89884e-05,2.89884e-05
62,11.8226,0.60759,0.67284,0.99644,0.7763,0.48333,0.5196,0.276,1.66017,1.83655,1.38512,2.87529e-05,2.87529e-05,2.87529e-05
63,12.0306,0.88194,1.50153,1.32432,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.84938e-05,2.84938e-05,2.84938e-05
64,12.219,0.76222,0.81318,1.21477,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.82112e-05,2.82112e-05,2.82112e-05
65,12.5025,0.74134,0.78898,1.16963,0.77425,0.48333,0.51642,0.27186,1.67162,1.89701,1.39213,2.7905e-05,2.7905e-05,2.7905e-05
66,12.6972,0.77009,1.39349,1.14888,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.75753e-05,2.75753e-05,2.75753e-05
67,12.8666,0.81499,1.2768,1.23426,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.7222e-05,2.7222e-05,2.7222e-05
68,13.044,0.80451,0.99214,1.13677,0.77779,0.48333,0.51591,0.25995,1.68791,1.94762,1.40024,2.68451e-05,2.68451e-05,2.68451e-05
69,13.2369,0.82083,0.86771,1.18438,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.64447e-05,2.64447e-05,2.64447e-05
70,13.411,0.71899,0.65616,1.08481,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.60207e-05,2.60207e-05,2.60207e-05
71,13.5832,0.73419,0.72358,1.10433,0.77693,0.48333,0.51829,0.25541,1.67345,1.96355,1.38849,2.55731e-05,2.55731e-05,2.55731e-05
72,13.7659,0.52487,0.71553,1.03906,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.5102e-05,2.5102e-05,2.5102e-05
73,13.9367,0.80892,0.75017,1.20185,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.46073e-05,2.46073e-05,2.46073e-05
74,14.1152,0.63715,0.70069,1.17357,0.82273,0.48333,0.51548,0.2744,1.7054,2.11054,1.41327,2.40891e-05,2.40891e-05,2.40891e-05
75,14.2994,0.81431,0.63723,1.0815,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.35472e-05,2.35472e-05,2.35472e-05
76,14.471,0.67924,0.66663,1.04665,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.29819e-05,2.29819e-05,2.29819e-05
77,14.6422,0.76028,0.81433,1.11513,0.8255,0.48284,0.51759,0.27494,1.74067,2.1196,1.42577,2.23929e-05,2.23929e-05,2.23929e-05
